mar_status,empl_status,gender,age
married,"Working, self-employed",M,29
married,"Working, self-employed",F,28
married,Working as paid employee,M,28
married,Working as paid employee,F,29
married,Working as paid employee,M,54
married,Working as paid employee,F,52
married,"Working, self-employed",M,62
married,Not working - looking for work,F,61
married,Working as paid employee,M,29
married,Working as paid employee,F,29
married,Working as paid employee,M,27
married,Working as paid employee,F,27
married,"Working, self-employed",M,49
married,Working as paid employee,F,44
unmarried,Not working - disabled,M,42
unmarried,Not working - disabled,F,32
married,Working as paid employee,M,30
married,"Working, self-employed",F,28
married,Working as paid employee,M,38
married,Working as paid employee,F,35
married,Working as paid employee,M,36
married,Working as paid employee,F,36
married,Working as paid employee,M,37
married,Not working - other,F,36
married,Working as paid employee,M,28
married,Not working - other,F,27
married,"Working, self-employed",M,57
married,Working as paid employee,F,56
married,Not working - retired,M,55
married,Not working - retired,F,56
married,Working as paid employee,M,30
married,Working as paid employee,F,29
married,Working as paid employee,M,47
married,Not working - other,F,56
unmarried,Not working - disabled,M,61
unmarried,"Working, self-employed",F,55
married,Working as paid employee,M,27
married,Working as paid employee,F,29
